img_slice_id,x,y,w,h,contours
bb_001_0,NA,NA,NA,NA,0
bb_001_1,NA,NA,NA,NA,0
bb_001_2,NA,NA,NA,NA,0
bb_001_3,NA,NA,NA,NA,0
bb_001_4,NA,NA,NA,NA,0
bb_001_5,NA,NA,NA,NA,0
bb_001_6,NA,NA,NA,NA,0
bb_001_7,NA,NA,NA,NA,0
bb_001_8,NA,NA,NA,NA,0
bb_001_9,NA,NA,NA,NA,0
bb_001_10,NA,NA,NA,NA,0
bb_001_11,NA,NA,NA,NA,0
bb_001_12,NA,NA,NA,NA,0
bb_001_13,NA,NA,NA,NA,0
bb_001_14,NA,NA,NA,NA,0
bb_001_15,NA,NA,NA,NA,0
bb_001_16,NA,NA,NA,NA,0
bb_001_17,NA,NA,NA,NA,0
bb_001_18,NA,NA,NA,NA,0
bb_001_19,NA,NA,NA,NA,0
bb_001_20,NA,NA,NA,NA,0
bb_001_21,NA,NA,NA,NA,0
bb_001_22,NA,NA,NA,NA,0
bb_001_23,NA,NA,NA,NA,0
bb_001_24,NA,NA,NA,NA,0
bb_001_25,NA,NA,NA,NA,0
bb_001_26,NA,NA,NA,NA,0
bb_001_27,NA,NA,NA,NA,0
bb_001_28,NA,NA,NA,NA,0
bb_001_29,NA,NA,NA,NA,0
bb_001_30,NA,NA,NA,NA,0
bb_001_31,108,81,8,8,2
bb_001_31,100,88,11,9,2
bb_001_32,98,97,5,4,3
bb_001_32,104,76,5,5,3
bb_001_32,98,80,19,18,3
bb_001_33,104,74,7,7,2
bb_001_33,98,80,20,20,2
bb_001_34,96,74,22,26,1
bb_001_35,96,74,23,26,1
bb_001_36,95,73,26,27,1
bb_001_37,91,73,32,28,1
bb_001_38,90,72,35,29,1
bb_001_39,89,71,36,29,1
bb_001_40,89,71,37,29,1
bb_001_41,86,80,6,7,2
bb_001_41,89,71,37,29,2
bb_001_42,85,71,43,32,1
bb_001_43,85,71,44,32,1
bb_001_44,85,70,47,33,1
bb_001_45,85,70,47,33,1
bb_001_46,85,70,48,37,1
bb_001_47,137,89,9,9,2
bb_001_47,84,70,49,45,2
bb_001_48,104,65,15,6,2
bb_001_48,85,70,58,46,2
bb_001_49,127,59,6,8,3
bb_001_49,147,68,9,7,3
bb_001_49,85,63,61,54,3
bb_001_50,127,59,7,8,3
bb_001_50,146,67,10,9,3
bb_001_50,85,62,61,55,3
bb_001_51,127,59,7,8,3
bb_001_51,146,66,10,10,3
bb_001_51,86,60,60,58,3
bb_001_52,127,59,7,8,3
bb_001_52,146,66,10,10,3
bb_001_52,86,60,61,61,3
bb_001_53,127,59,7,8,3
bb_001_53,146,66,12,17,3
bb_001_53,86,60,68,70,3
bb_001_54,150,57,4,8,2
bb_001_54,86,58,74,69,2
bb_001_55,149,55,7,11,2
bb_001_55,87,58,73,68,2
bb_001_56,146,54,11,12,3
bb_001_56,128,57,17,13,3
bb_001_56,87,58,75,68,3
bb_001_57,145,54,13,13,2
bb_001_57,88,57,75,69,2
bb_001_58,144,53,14,14,2
bb_001_58,88,57,75,78,2
bb_001_59,88,53,80,85,1
